time,energyk,p,total,error
0.5090000000000003,5071.03860940223,-139.73815224951042,4931.300457152719,4719.627187425399
0.5100000000000003,5071.5337935932575,-139.552612173227,4931.98118142003,4626.559681014842
0.5110000000000003,5071.644240364712,-139.06131272110198,4932.58292764361,4545.061645106756
0.5120000000000003,5071.466833245884,-138.50342693958865,4932.963406306296,4493.904894054776
0.5130000000000003,5071.1412187624555,-138.11484262256005,4933.026376139896,4485.466292954752
0.5140000000000003,5070.834156471178,-138.08273257852267,4932.751423892655,4522.370988465358
0.5150000000000003,5070.7141964083585,-138.52049512753175,4932.193701280827,4597.69414599377
0.5160000000000003,5070.92035046227,-139.42907034281458,4931.491280119456,4693.444699670851
0.5170000000000003,5071.531073716493,-140.6886060028532,4930.84246771364,4782.764271938931
0.5180000000000003,5072.541886363865,-142.06122374367743,4930.480662620188,4832.938269728124
0.5190000000000003,5073.859103340301,-143.23083004913664,4930.628273291164,4812.436466565419
0.6000000000000004,5070.208628442758,-129.2025259399093,4941.006102502848,3480.2799419044677
0.6010000000000004,5069.787997808594,-128.3877505420255,4941.400247266569,3433.9310204192725
0.6020000000000004,5069.092992839227,-127.53322779158619,4941.559765047641,3415.2610612869084
0.6030000000000004,5068.380966758969,-127.02793367067852,4941.353033088291,3439.4667279430505
0.6040000000000004,5067.827596118048,-127.0737055304783,4940.75389058757,3510.101480509637
0.6050000000000004,5067.520175239551,-127.73025651570552,4939.789918723845,3625.2538872811424
0.6060000000000004,5067.488059216678,-129.0199841237155,4938.468075092963,3786.1777827652572
0.6070000000000004,5067.750199089094,-130.98521493562717,4936.764984153467,3998.6672291113196
0.6080000000000004,5068.346270426016,-133.6677850875127,4934.678485338503,4266.900277672118
0.6090000000000004,5069.3278042711545,-137.04056942063,4932.287234850524,4585.018564188047
0.6100000000000004,5070.717041822844,-140.92897168889473,4929.78807013395,4929.7150955151255
0.6110000000000004,5072.468060265778,-145.02672642241777,4927.441333843361,5264.760034430655
0.6120000000000004,5074.4620065024765,-148.97448579705247,4925.487520705424,5552.109570624651
0.6130000000000004,5076.539060929877,-152.45822390565746,4924.08083702422,5763.719306943003
0.6140000000000004,5078.543333468638,-155.2792918035368,4923.264041665101,5888.407301575339
0.6150000000000004,5080.354998825992,-157.35955194897716,4922.995446877015,5929.70120167066
0.6160000000000004,5081.900001072415,-158.71844348233515,4923.18155759008,5901.073094286188
0.6170000000000004,5083.1425616305905,-159.41083246762935,4923.7317291629615,5816.849136471853
0.6180000000000004,5084.070391808783,-159.50521243240104,4924.565179376382,5690.41216251745
0.6190000000000004,5084.68011143654,-159.0515765258204,4925.628534910719,5531.1148195261
0.7000000000000005,5061.797963899498,-123.68201654996477,4938.115947349534,3829.6359724456975
0.7010000000000005,5062.207265229308,-123.08121685826198,4939.126048371047,3705.637986924154
0.7020000000000005,5061.722987867116,-120.20681878045502,4941.516169086661,3420.358478300057
0.7030000000000005,5060.360027069987,-115.89797522587303,4944.462051844114,3084.4636853658494
0.7040000000000005,5058.533622872448,-111.7725549215074,4946.761067950941,2834.383885724349
0.7050000000000005,5057.006699634169,-109.63375140221052,4947.372948231959,2769.6065777961076
0.7060000000000005,5056.602774159242,-110.51698598384671,4946.085788175395,2906.7422366684254
0.7070000000000005,5057.760192169606,-114.0313291168959,4943.72886305271,3166.4408533406613
0.7080000000000005,5060.238563984996,-118.63416968615985,4941.604394298836,3410.046765205786
0.7090000000000005,5063.25376212852,-122.59909877756738,4940.654663350952,3521.868981988788
0.7100000000000005,5065.936181882651,-124.8653924967778,4941.0707893858735,3472.6518636040832
0.7110000000000005,5067.737496996646,-125.25272595180326,4942.484771044843,3308.00156176413
0.7120000000000005,5068.54301650582,-124.1401881857846,4944.402828320035,3091.0454988114975
0.7130000000000005,5068.5225789390915,-121.97924387704508,4946.543335062046,2857.6150262886777
0.7140000000000005,5067.892934455348,-118.9576912525409,4948.935243202807,2607.609386756447
0.7150000000000005,5066.756643489413,-115.01094890581551,4951.7456945835975,2328.4779912194545
0.7160000000000005,5065.096845010083,-110.05554412531647,4955.041300884766,2021.2846261341142
0.7170000000000005,5062.894631897023,-104.28332403643321,4958.6113078605895,1713.0238370109023
0.7180000000000005,5060.255839716302,-98.2008326341757,4962.055007082126,1439.822487537478
0.7190000000000005,5057.435975352879,-92.42638383829272,4965.009591514586,1224.3286859761506
0.8000000000000006,5063.10086543086,-99.24415355611613,4963.856711874743,1306.3372765053243
0.8010000000000006,5060.678545267968,-95.02665625806434,4965.651889009903,1179.7927285880055
0.8020000000000006,5058.231911569532,-90.82887234790893,4967.403039221623,1062.561851987065
0.8030000000000006,5055.858846287098,-87.20327767357783,4968.65556861352,982.4733789417656
0.8040000000000006,5053.845801970023,-85.02757136431343,4968.81823060571,972.3027425587001
